Year,Population,Season,Line#,Treatment,TechRep,Load (log[count/mL])
2012,VA,Spring,15,PR,2,2.344474585
2012,VA,Spring,20,PR,1,2.344474585
2012,MA,Spring,2,PR,2,2.341768622
2012,PA,Spring,4,PR,1,2.341768622
2014,MA,Spring,19,PR,2,2.340396433
2014,PA,Spring,18,PR,1,2.340396433
2012,MA,Spring,7,PR,1,2.339011113
2012,PA,Fall,40,PR,2,2.337612408
2012,VA,Spring,14,PR,1,2.336200057
2012,PA,Spring,14,PR,3,2.333333333
2014,PA,Spring,19,PR,1,2.332024551
2012,PA,Spring,11,PR,1,2.329370947
2012,MA,Fall,23,PR,1,2.326516125
2012,MA,Spring,3,PR,1,2.325143936
2012,PA,Spring,5,PR,1,2.325143936
2012,VA,Spring,7,PR,2,2.32360387
2012,MA,Spring,10,PR,1,2.322359911
2012,PA,Spring,16,PR,1,2.322359911
2012,VA,Spring,6,PR,2,2.322359911
2012,MA,Spring,9,PR,2,2.320631825
2012,MA,Spring,18,PR,1,2.31936195
2012,MA,Fall,22,PR,1,2.317758779
2014,PA,Spring,16,PR,1,2.316788285
2012,PA,Spring,12,PR,3,2.316463336
2012,MA,Fall,39,PR,1,2.314662958
2012,MA,Spring,4,PR,3,2.313339385
2012,MA,Spring,6,PR,1,2.310316344
2012,VA,Spring,20,PR,2,2.310316344
2014,PA,Spring,21,PR,3,2.308437364
2014,MA,Spring,15,PR,1,2.308093095
2012,VA,Spring,12,PR,3,2.305133278
2012,MA,Spring,19,PR,1,2.30389672
2012,VA,Spring,14,PR,2,2.30389672
2012,MA,Spring,9,PR,1,2.301752016
2012,MA,Spring,12,PR,2,2.300486107
2012,MA,Spring,2,PR,1,2.300486107
2012,MA,Spring,17,PR,2,2.300304356
2012,VA,Fall,36,PR,1,2.298474182
2014,VA,Fall,12,PR,2,2.298474182
2012,MA,Spring,9,PR,1,2.297179153
2012,MA,Spring,2,PR,1,2.293604531
2014,PA,Fall,15,PR,3,1.959123782
2012,MA,Fall,37,PR,3,2.292072614
2014,VA,Fall,14,PR,2,1.95873928
2012,PA,Spring,5,PR,2,2.291300533
2014,PA,Spring,20,PR,3,2.291300533
2012,PA,Spring,9,PR,3,2.290718758
2012,VA,Fall,37,PR,2,2.283956534
2012,PA,Spring,11,PR,1,2.283548745
2012,VA,Spring,2,PR,2,2.28252422
2012,MA,Spring,14,PR,2,2.281906006
2012,PA,Spring,3,PR,3,2.281906006
2014,MA,Fall,3,PR,1,1.946911078
2012,VA,Fall,25,PR,4,2.277076565
2012,MA,Spring,20,PR,2,2.276005021
2012,MA,Fall,32,PR,1,2.276005021
2012,PA,Spring,9,PR,3,2.275574173
2012,PA,Spring,6,PR,1,2.275574173
2012,VA,Fall,21,PR,1,2.275574173
2012,MA,Spring,10,PR,1,2.274708611
2012,MA,Spring,20,PR,1,2.274708611
2012,VA,Spring,14,PR,2,2.274708611
2012,MA,Spring,7,PR,2,2.26713457
2014,MA,Fall,6,PR,1,1.930329492
2012,VA,Spring,15,PR,1,2.26272279
2012,VA,Spring,5,PR,1,2.262250474
2012,MA,Spring,1,PR,2,2.262250474
2012,PA,Spring,15,PR,1,2.259142274
2012,PA,Spring,9,PR,1,2.259142274
2012,VA,Spring,3,PR,1,2.259142274
2012,VA,Fall,33,PR,3,2.259142274
2012,VA,Spring,8,PR,2,2.257440569
2012,MA,Spring,6,PR,2,2.256950671
2012,MA,Fall,37,PR,2,2.256950671
2012,VA,Spring,16,PR,1,2.255718622
2012,VA,Spring,17,PR,3,2.255718622
2012,MA,Spring,8,PR,1,2.253725271
2012,MA,Spring,18,PR,2,2.250169465
