Year,Population,Season,Line#,Treatment,TechRep,Load (log[count/mL])
2014,PA,Fall,4,PR,1,1.433676665
2012,VA,Fall,40,PR,2,1.765555063
2012,VA,Fall,40,PR,1,1.765555063
2014,VA,Spring,4,PR,3,1.765555063
2012,PA,Spring,10,PR,2,1.764085357
2014,VA,Spring,11,PR,1,1.764085357
2012,VA,Spring,7,PR,1,1.762600577
2012,VA,Spring,9,PR,1,1.76110041
2014,VA,Fall,7,PR,2,1.427767076
2014,VA,Fall,5,PR,2,1.76110041
2014,PA,Spring,9,PR,1,1.759584534
2014,PA,Spring,5,PR,2,1.759584534
2014,MA,Fall,19,PR,2,1.423947202
2012,PA,Spring,15,PR,2,1.756504315
2012,VA,Fall,31,PR,1,1.755723909
2014,MA,Spring,2,PR,2,1.754939274
2012,MA,Fall,30,PR,1,1.754150363
2012,VA,Spring,1,PR,1,1.753357129
2012,MA,Spring,16,PR,1,1.750140001
2014,MA,Fall,13,PR,1,1.416806667
2014,VA,Spring,20,PR,2,1.745176149
2012,PA,Spring,18,PR,1,1.741769761
2014,PA,Spring,17,PR,2,1.741769761
2012,MA,Fall,35,PR,1,1.740036029
2012,PA,Spring,8,PR,3,1.736505005
2014,VA,Fall,6,PR,2,1.403171672
2012,PA,Spring,16,PR,3,1.734706661
2012,VA,Spring,3,PR,1,1.732885696
2014,VA,Spring,20,PR,3,1.732885696
2014,VA,Fall,12,PR,2,1.399552362
2014,VA,Fall,17,PR,3,1.399552362
2012,PA,Spring,7,PR,2,1.729173574
2012,PA,Fall,39,PR,1,1.729173574
2014,PA,Spring,8,PR,1,1.729173574
2014,VA,Fall,13,PR,1,1.39584024
2012,PA,Spring,20,PR,1,1.727281196
2014,VA,Fall,10,PR,2,1.393947863
2012,MA,Fall,23,PR,1,1.725363753
2014,PA,Fall,12,PR,1,1.39203042
2012,VA,Fall,27,PR,2,1.722439112
2012,VA,Spring,4,PR,2,1.720456001
2014,VA,Fall,16,PR,3,1.385112012
2014,PA,Fall,4,PR,1,1.383073038
2014,VA,Spring,8,PR,2,1.714338267
2014,VA,Fall,4,PR,12,1.714338267
2012,PA,Spring,9,PR,2,1.713293029
2014,VA,Spring,19,PR,3,1.712240189
2014,VA,Fall,5,PR,2,1.378906856
2012,MA,Fall,25,PR,2,1.710111256
2014,VA,Spring,12,PR,1,1.710111256
2014,VA,Fall,3,PR,3,1.707950547
2014,VA,Fall,1,PR,2,1.372423765
2012,VA,Fall,40,PR,2,1.703529903
2012,VA,Spring,14,PR,1,1.702403323
2012,MA,Fall,33,PR,2,1.701267907
2014,VA,Spring,4,PR,1,1.701267907
2014,VA,Fall,1,PR,2,1.701267907
2012,PA,Spring,8,PR,1,1.700123515
2014,MA,Spring,3,PR,1,1.698970004
2014,MA,Spring,1,PR,1,1.698970004
2014,VA,Spring,8,PR,2,1.698970004
2012,PA,Spring,11,PR,4,1.697807228
2012,MA,Fall,26,PR,1,1.696635037
2014,PA,Spring,7,PR,2,1.696635037
2014,MA,Spring,8,PR,1,1.696635037
2014,MA,Spring,9,PR,2,1.696635037
2014,MA,Spring,3,PR,2,1.696635037
2014,MA,Fall,19,PR,1,1.363301704
2012,PA,Spring,6,PR,3,1.69426179
2014,MA,Spring,1,PR,1,1.69426179
2014,PA,Spring,8,PR,2,1.69426179
2014,VA,Fall,14,PR,3,1.360928457
2012,MA,Fall,27,PR,2,1.693060415
2012,VA,Spring,16,PR,3,1.691848987
2012,VA,Fall,30,PR,1,1.691848987
2012,MA,Fall,29,PR,3,1.691848987
2014,VA,Fall,15,PR,1,1.358515654
2012,PA,Fall,27,PR,1,1.689395287
2012,MA,Fall,22,PR,1,1.689395287
2014,MA,Fall,3,PR,2,1.356061954
2012,VA,Fall,39,PR,1,1.68689928
2012,VA,Spring,6,PR,1,1.68563495
2012,VA,Spring,9,PR,2,1.68563495
2014,PA,Fall,19,PR,2,1.352301617
2014,VA,Fall,12,PR,1,1.684359481
2012,VA,Spring,14,PR,1,1.681774326
2014,VA,Fall,7,PR,2,1.681774326
2014,VA,Fall,18,PR,1,1.681774326
2014,PA,Spring,2,PR,1,1.679142166
2014,VA,Fall,9,PR,1,1.345808833
2012,MA,Spring,6,PR,1,1.677807918
2014,VA,Spring,15,PR,3,1.676461259
2014,VA,Fall,14,PR,1,1.343127926
2012,MA,Spring,6,PR,2,1.675101955
2012,VA,Fall,28,PR,1,1.673729766
2012,VA,Fall,25,PR,1,1.673729766
2012,VA,Spring,17,PR,1,1.670945742
2012,MA,Spring,8,PR,2,1.670945742
2014,VA,Spring,5,PR,2,1.670945742
2012,PA,Spring,1,PR,1,1.669533391
2012,PA,Spring,19,PR,1,1.669533391
2012,VA,Spring,1,PR,2,1.666666667
2014,PA,Spring,2,PR,3,1.665211732
2014,PA,Fall,9,PR,1,1.325755404
2014,PA,Fall,12,PR,2,1.325755404
2014,PA,Fall,4,PR,2,1.325755404
2012,MA,Spring,16,PR,3,1.656005238
2012,PA,Spring,8,PR,2,1.656005238
2014,MA,Spring,16,PR,2,1.656005238
2014,PA,Spring,12,PR,3,1.656005238
2014,VA,Fall,17,PR,1,1.322671905
2014,VA,Fall,19,PR,1,1.656005238
2014,PA,Spring,10,PR,3,1.652854628
2012,VA,Spring,7,PR,1,1.65157493
2012,PA,Spring,6,PR,2,1.64963392
2014,PA,Spring,21,PR,1,1.64963392
2014,MA,Fall,19,PR,3,1.311162429
2012,MA,Spring,10,PR,1,1.642798617
2012,MA,Fall,32,PR,2,1.642798617
2012,VA,Spring,16,PR,1,1.641598665
2012,PA,Fall,27,PR,2,1.639343446
2012,VA,Spring,8,PR,1,1.634544172
2012,MA,Spring,2,PR,1,1.632175406
2012,VA,Fall,27,PR,1,1.632175406
2014,PA,Spring,12,PR,3,1.632175406
2014,VA,Spring,6,PR,1,1.632175406
2014,VA,Spring,9,PR,2,1.632175406
2014,VA,Fall,10,PR,1,1.298842072
2012,PA,Spring,19,PR,1,1.630883678
2012,VA,Fall,38,PR,1,1.62845374
2012,PA,Fall,33,PR,3,1.62845374
2012,MA,Fall,24,PR,2,1.62845374
2012,MA,Fall,27,PR,3,1.62845374
2012,MA,Fall,32,PR,1,1.628076257
2012,PA,Fall,38,PR,1,1.624440201
2012,MA,Fall,37,PR,1,1.62051147
2014,VA,Spring,16,PR,1,1.62051147
2014,VA,Fall,11,PR,3,1.287178137
2014,PA,Fall,17,PR,3,1.286978874
2012,VA,Spring,11,PR,1,1.619311755
2014,PA,Spring,21,PR,2,1.612318912
2014,VA,Spring,4,PR,1,1.612318912
2014,PA,Spring,5,PR,1,1.612318912
2014,MA,Fall,18,PR,1,1.277928125
2012,VA,Spring,12,PR,2,1.608041945
2014,VA,Spring,15,PR,1,1.608041945
2014,MA,Spring,13,PR,1,1.608041945
2014,VA,Fall,7,PR,1,1.274708611
2014,VA,Fall,10,PR,1,1.608041945
2014,PA,Fall,7,PR,2,1.273181312
2014,MA,Fall,9,PR,3,1.270077506
2014,VA,Fall,10,PR,2,1.603410839
2014,PA,Fall,8,PR,1,1.26827356
2012,VA,Spring,11,PR,1,1.598858111
2012,PA,Spring,15,PR,3,1.598858111
2012,VA,Fall,28,PR,2,1.598858111
2014,PA,Spring,19,PR,1,1.598858111
2014,VA,Spring,1,PR,2,1.598858111
2014,PA,Fall,13,PR,1,1.265524778
2012,PA,Spring,8,PR,3,1.5976972
2012,PA,Spring,8,PR,4,1.594157541
2014,VA,Spring,9,PR,1,1.589299205
2014,VA,Fall,16,PR,1,1.255965872
2014,VA,Fall,12,PR,3,1.255965872
2012,VA,Spring,10,PR,1,1.588058711
2012,VA,Fall,32,PR,1,1.584272144
2014,MA,Fall,15,PR,1,1.25093881
2014,PA,Fall,5,PR,1,1.25093881
2014,VA,Fall,2,PR,1,1.25093881
2014,VA,Fall,9,PR,1,1.584272144
2014,VA,Fall,4,PR,2,1.584272144
2012,VA,Spring,12,PR,1,1.578798834
2014,VA,Spring,3,PR,2,1.578798834
2014,VA,Spring,20,PR,1,1.578798834
2012,PA,Spring,4,PR,2,1.573386434
2012,MA,Spring,4,PR,1,1.573386434
2014,PA,Spring,6,PR,2,1.573386434
2014,VA,Spring,6,PR,2,1.573386434
2014,VA,Spring,9,PR,3,1.573386434
2014,PA,Fall,2,PR,1,1.240053101
2012,VA,Spring,13,PR,2,1.572279241
2012,VA,Spring,3,PR,3,1.572279241
2012,PA,Spring,13,PR,2,1.567763793
2012,PA,Spring,20,PR,3,1.567763793
2014,VA,Spring,13,PR,1,1.567763793
2014,VA,Fall,15,PR,3,1.567763793
2012,VA,Spring,3,PR,2,1.566612575
2012,MA,Spring,13,PR,2,1.561913913
2012,MA,Fall,21,PR,2,1.561913913
2012,MA,Fall,25,PR,3,1.561913913
2014,VA,Spring,5,PR,1,1.561913913
2014,PA,Spring,19,PR,3,1.561913913
2014,MA,Spring,13,PR,2,1.561913913
2014,PA,Spring,20,PR,1,1.561913913
2014,VA,Fall,19,PR,1,1.22858058
2014,VA,Fall,5,PR,1,1.561913913
2012,MA,Spring,20,PR,2,1.560413746
2012,PA,Spring,1,PR,1,1.560413746
2012,MA,Spring,14,PR,3,1.555817651
2012,PA,Spring,11,PR,2,1.555817651
2014,VA,Spring,20,PR,3,1.555817651
2014,PA,Spring,1,PR,3,1.555817651
2014,MA,Spring,13,PR,2,1.555817651
2014,MA,Spring,17,PR,1,1.555817651
2014,MA,Fall,10,PR,1,1.222484318
2012,MA,Spring,16,PR,3,1.554252611
2012,VA,Spring,14,PR,2,1.547817559
2012,PA,Spring,18,PR,3,1.542455286
2014,MA,Spring,5,PR,3,1.542455286
2014,MA,Fall,9,PR,2,1.209121952
2014,VA,Fall,18,PR,2,1.209121952
2012,VA,Spring,13,PR,2,1.535460455
2012,PA,Spring,20,PR,2,1.535460455
2012,VA,Fall,33,PR,2,1.535460455
2014,VA,Spring,4,PR,2,1.535460455
2014,VA,Spring,2,PR,1,1.535460455
2014,PA,Spring,7,PR,2,1.535460455
2012,MA,Spring,15,PR,1,1.534019997
2012,VA,Spring,13,PR,3,1.534019997
2012,VA,Spring,19,PR,1,1.534019997
2012,MA,Spring,5,PR,1,1.528110408
2014,MA,Spring,13,PR,3,1.528110408
2014,MA,Spring,13,PR,3,1.528110408
2014,PA,Fall,8,PR,1,1.194777075
2014,VA,Fall,6,PR,1,1.194777075
2014,VA,Fall,18,PR,3,1.528110408
2012,VA,Spring,20,PR,3,1.526594532
2012,MA,Spring,15,PR,3,1.520367128
2012,VA,Spring,15,PR,2,1.520367128
2012,PA,Fall,39,PR,1,1.520367128
2014,VA,Spring,18,PR,3,1.520367128
2014,MA,Fall,1,PR,3,1.182180888
2012,VA,Spring,17,PR,2,1.511764707
2012,MA,Fall,22,PR,3,1.511764707
2012,MA,Fall,29,PR,1,1.507481411
2014,MA,Spring,12,PR,1,1.503067507
2014,MA,Spring,11,PR,1,1.503067507
2014,VA,Fall,7,PR,1,1.503067507
2012,PA,Spring,9,PR,1,1.49381421
2012,PA,Fall,33,PR,1,1.49381421
2012,MA,Fall,21,PR,1,1.49381421
2014,VA,Spring,10,PR,3,1.49381421
2012,PA,Spring,8,PR,2,1.492373752
2012,PA,Spring,9,PR,3,1.492373752
2014,VA,Spring,14,PR,3,1.483928812
2014,VA,Spring,9,PR,1,1.483928812
2012,VA,Spring,1,PR,7,1.48238601
2012,VA,Spring,15,PR,4,1.48238601
2012,MA,Spring,13,PR,1,1.473318583
2012,PA,Spring,4,PR,3,1.473318583
2014,MA,Spring,18,PR,1,1.473318583
2014,VA,Fall,10,PR,3,1.139985249
2012,VA,Spring,13,PR,3,1.471657783
2012,VA,Spring,13,PR,1,1.471657783
2012,VA,Spring,6,PR,1,1.471657783
2012,MA,Fall,39,PR,1,1.463645036
2012,VA,Spring,5,PR,2,1.461271789
2012,MA,Spring,3,PR,3,1.461271789
2012,PA,Spring,14,PR,1,1.461271789
2012,VA,Spring,16,PR,1,1.461271789
2012,PA,Fall,33,PR,2,1.461271789
2012,PA,Fall,39,PR,2,1.461271789
2012,MA,Fall,23,PR,3,1.461271789
2014,MA,Spring,17,PR,2,1.461271789
2014,VA,Spring,2,PR,2,1.461271789
2014,VA,Spring,12,PR,2,1.461271789
2014,PA,Spring,18,PR,1,1.461271789
2014,PA,Spring,13,PR,3,1.461271789
2014,PA,Spring,13,PR,2,1.461271789
2014,MA,Spring,10,PR,1,1.461271789
2014,MA,Spring,12,PR,3,1.461271789
2014,PA,Fall,12,PR,1,1.127938455
2014,VA,Fall,20,PR,1,1.461271789
2012,PA,Spring,19,PR,2,1.460070414
2012,MA,Fall,26,PR,3,1.448784325
2014,VA,Spring,8,PR,1,1.448784325
2014,VA,Spring,19,PR,1,1.448784325
2014,VA,Fall,18,PR,1,1.115450991
2014,VA,Fall,19,PR,3,1.115450991
2014,VA,Fall,13,PR,3,1.115450991
2012,MA,Spring,3,PR,2,1.435117123
2012,PA,Spring,16,PR,1,1.435117123
2012,VA,Fall,37,PR,1,1.435117123
2012,MA,Fall,40,PR,1,1.435117123
2014,VA,Spring,7,PR,1,1.435117123
2014,PA,Fall,11,PR,1,1.10178379
2014,VA,Fall,6,PR,1,1.435117123
2012,MA,Spring,19,PR,1,1.433676665
2012,PA,Spring,3,PR,1,1.420023796
2012,PA,Fall,40,PR,1,1.420023796
2014,VA,Spring,7,PR,2,1.420023796
2014,VA,Spring,17,PR,1,1.420023796
2014,MA,Spring,18,PR,2,1.420023796
2014,MA,Spring,17,PR,2,1.420023796
2014,VA,Fall,11,PR,1,1.086690463
2014,VA,Fall,18,PR,3,1.086690463
2012,MA,Spring,13,PR,3,1.403171672
2012,VA,Spring,6,PR,2,1.403171672
2012,MA,Fall,33,PR,1,1.403171672
2014,PA,Spring,19,PR,2,1.403171672
2014,PA,Spring,10,PR,1,1.403171672
2014,MA,Spring,19,PR,1,1.403171672
2014,MA,Spring,20,PR,1,1.403171672
2014,MA,Spring,6,PR,2,1.403171672
2014,MA,Fall,13,PR,2,1.069838338
2014,PA,Fall,16,PR,3,1.069838338
2012,VA,Spring,8,PR,3,1.401373328
2014,MA,Fall,9,PR,2,1.062506907
2012,VA,Fall,38,PR,1,1.384096115
2012,VA,Spring,18,PR,3,1.383073038
2012,VA,Spring,5,PR,1,1.383073038
2012,MA,Fall,30,PR,3,1.383073038
2014,VA,Spring,14,PR,1,1.383073038
2014,MA,Fall,14,PR,1(2),1.049739704
2012,MA,Spring,5,PR,2,1.360928457
2012,PA,Spring,13,PR,1,1.360928457
2012,PA,Spring,12,PR,1,1.360928457
2012,PA,Fall,35,PR,1,1.360928457
2014,VA,Spring,12,PR,3,1.360928457
2014,VA,Spring,1,PR,1,1.360928457
2014,MA,Spring,15,PR,2,1.360928457
2012,VA,Spring,9,PR,1,1.359727082
2014,MA,Fall,2,PR,1,1.013797562
2012,VA,Spring,7,PR,3,1.334773791
2012,VA,Spring,13,PR,3,1.334773791
2012,MA,Spring,7,PR,3,1.334773791
2012,PA,Fall,37,PR,1,1.334773791
2012,MA,Fall,33,PR,4,1.334773791
2014,MA,Spring,3,PR,2,1.334773791
2014,VA,Spring,17,PR,2,1.334773791
2014,VA,Spring,12,PR,1,1.334773791
2014,VA,Spring,4,PR,3,1.334773791
2014,PA,Spring,12,PR,2,1.334773791
2014,PA,Fall,15,PR,1,1.001440458
2012,VA,Spring,19,PR,2,1.333333333
2014,MA,Fall,9,PR,1,0.981494224
2014,MA,Fall,10,PR,3,0.981494224
2014,PA,Fall,17,PR,1,0.981494224
2014,PA,Fall,13,PR,1,0.981494224
2014,PA,Fall,4,PR,3,0.981494224
2014,PA,Fall,1,PR,1,0.981494224
2012,VA,Fall,23,PR,1,1.302470454
2014,VA,Spring,9,PR,3,1.302470454
2014,VA,Spring,13,PR,2,1.302470454
2014,VA,Spring,20,PR,2,1.302470454
2014,MA,Fall,14,PR,2,0.96913712
2014,PA,Fall,7,PR,1,0.96913712
2014,PA,Fall,21,PR,2,0.96913712
2014,PA,Fall,17,PR,1,0.96913712
2014,VA,Fall,13,PR,2,0.96913712
2014,VA,Fall,4,PR,1,0.96913712
2012,PA,Fall,37,PR,3,1.288367992
2012,MA,Fall,35,PR,1,1.283139805
2012,VA,Spring,18,PR,1,1.260824208
2012,MA,Spring,20,PR,1,1.260824208
2012,VA,Spring,8,PR,2,1.260824208
2012,VA,Spring,1,PR,3,1.260824208
2014,PA,Spring,5,PR,3,1.260824208
2014,PA,Spring,4,PR,1,1.260824208
2014,MA,Spring,12,PR,2,1.260824208
2014,MA,Spring,11,PR,1,1.260824208
2014,VA,Spring,19,PR,2,1.260824208
2014,MA,Fall,1,PR,1,0.927490875
2014,PA,Fall,5,PR,2,0.927490875
2014,PA,Fall,12,PR,3,0.927490875
2012,MA,Spring,12,PR,3,1.259624824
2012,VA,Spring,19,PR,3,1.259624824
2012,VA,Fall,27,PR,2,1.25938375
2012,MA,Fall,29,PR,2,1.245995775
2012,MA,Fall,39,PR,2,1.238667781
2012,PA,Fall,35,PR,1,1.235002653
2014,MA,Fall,14,PR,1,0.881150892
2014,MA,Fall,18,PR,2,0.881150892
2012,VA,Fall,33,PR,1,1.210142625
2012,MA,Spring,1,PR,1,1.202127122
2012,PA,Spring,15,PR,1,1.202127122
2012,MA,Fall,38,PR,2,1.202127122
2014,PA,Spring,1,PR,2,1.202127122
2014,VA,Spring,20,PR,1,1.202127122
2014,VA,Spring,11,PR,2,1.202127122
2014,MA,Spring,1,PR,1,1.202127122
2014,MA,Spring,15,PR,1,1.202127122
2014,MA,Spring,1,PR,3,1.202127122
2014,VA,Spring,12,PR,2,1.202127122
2014,VA,Spring,6,PR,1,1.202127122
2014,PA,Spring,6,PR,3,1.202127122
2014,PA,Fall,16,PR,1,0.868793788
2014,PA,Fall,5,PR,3,0.868793788
2014,VA,Fall,9,PR,2,0.868793788
2014,VA,Fall,8,PR,1,0.868793788
2014,VA,Fall,15,PR,3,0.868793788
2014,VA,Fall,1,PR,3,0.868793788
2014,VA,Fall,7,PR,2,1.202127122
2014,VA,Fall,9,PR,2,1.202127122
2012,MA,Fall,21,PR,2,1.140534642
2014,PA,Fall,4,PR,2,0.78080756
2014,PA,Fall,14,PR,1,0.78080756
2014,PA,Fall,10,PR,3,0.78080756
2012,VA,Spring,5,PR,3,1.10178379
2012,VA,Spring,5,PR,4,1.10178379
2014,PA,Spring,18,PR,2,1.10178379
2014,VA,Spring,9,PR,2,1.10178379
2014,VA,Spring,14,PR,2,1.10178379
2014,VA,Spring,12,PR,3,1.10178379
2014,VA,Spring,15,PR,2,1.10178379
2014,VA,Spring,16,PR,2,1.10178379
2014,PA,Spring,18,PR,3,1.10178379
2014,MA,Spring,9,PR,2,1.10178379
2014,MA,Spring,9,PR,1,1.10178379
2014,VA,Spring,7,PR,1,1.10178379
2014,PA,Fall,2,PR,3,0.768450456
2014,PA,Fall,10,PR,1,0.768450456
2012,VA,Spring,9,PR,3,1.100343332
2012,MA,Fall,40,PR,1,1.100343332
2012,MA,Fall,34,PR,1,1.069838338
2012,MA,Fall,33,PR,1,1.046626362
2012,MA,Fall,21,PR,3,1.042368266
2012,PA,Fall,37,PR,2,1.013797562
2012,VA,Fall,38,PR,2,0.960271197
2012,MA,Fall,27,PR,1,0.87441643
2012,MA,Fall,21,PR,1,0.793403747
2014,PA,Spring,1,PR,3,0
2014,VA,Spring,19,PR,3,0
2014,VA,Spring,3,PR,1,0
2014,VA,Spring,18,PR,1,0
2014,VA,Spring,19,PR,2,0
2014,VA,Spring,13,PR,3,0
2014,VA,Spring,1,PR,2,0
2014,VA,Spring,19,PR,1,0
2014,PA,Spring,14,PR,2,0
2014,PA,Spring,11,PR,1,0
2014,PA,Spring,14,PR,1,0
2014,MA,Spring,5,PR,2,0
2014,MA,Spring,13,PR,1,0
2014,MA,Spring,2,PR,3,0
2014,MA,Spring,6,PR,1,0
2014,MA,Spring,18,PR,3,0
2014,VA,Spring,1,PR,3,0
2014,VA,Spring,12,PR,3,0
2014,VA,Spring,18,PR,2,0
2014,PA,Spring,5,PR,3,0
2014,PA,Spring,7,PR,3,0
2014,PA,Spring,12,PR,1,0
2014,MA,Fall,2,PR,2,0
2014,PA,Fall,2,PR,3,0
2014,PA,Fall,14,PR,3,0
2014,PA,Fall,20,PR,1,0
2014,VA,Fall,15,PR,1,0
2014,VA,Fall,15,PR,2,0
2014,VA,Fall,15,PR,22,0
2014,MA,Fall,9,PR,1,0
2014,MA,Fall,14,PR,1,0
2012,PA,Spring,14,EF,2,0.768450456
2012,MA,Spring,9,EF,1,0.868793788
2012,PA,Spring,9,EF,3,0.868793788
2012,PA,Spring,9,EF,2,0.868793788
2012,PA,Spring,6,EF,1,0.868793788
2012,PA,Spring,16,EF,1,0.868793788
2012,VA,Spring,6,EF,2,0.927490875
2012,VA,Spring,7,EF,1,0.927490875
2012,VA,Spring,9,EF,3,0.927490875
2012,PA,Spring,12,EF,3,0.927490875
2012,PA,Spring,4,EF,1,0.927490875
2012,MA,Spring,20,EF,1,0.96913712
2012,PA,Spring,14,EF,3,0.96913712
2012,PA,Spring,12,EF,1,0.96913712
2012,PA,Spring,20,EF,1,0.96913712
2012,PA,Spring,10,EF,1,0.96913712
2012,VA,Spring,5,EF,2,0.96913712
2012,VA,Spring,11,EF,1,1.001440458
2012,MA,Spring,1,EF,3,1.001440458
2012,VA,Spring,16,EF,1,1.001440458
2012,PA,Spring,16,EF,2,1.027595123
2012,PA,Spring,3,EF,1,1.027595123
2012,VA,Spring,4,EF,1,1.027595123
2012,PA,Spring,9,EF,1,1.027595123
2012,MA,Spring,20,EF,2,1.049739704
2012,VA,Spring,19,EF,2,1.049739704
2012,PA,Spring,2,EF,3,1.049739704
2012,PA,Spring,6,EF,2,1.049739704
2012,PA,Spring,16,EF,1,1.069838338
2012,VA,Spring,6,EF,1,1.069838338
2012,PA,Spring,9,EF,2,1.069838338
2012,VA,Spring,17,EF,2,1.069838338
2012,VA,Spring,1,EF,,1.086690463
2012,MA,Spring,19,EF,2,1.100343332
2012,MA,Spring,7,EF,3,1.100343332
2012,PA,Spring,15,EF,2,1.10178379
2012,PA,Spring,5,EF,2,1.10178379
2012,MA,Spring,15,EF,3,1.10178379
2012,MA,Spring,18,EF,3,1.139985249
2012,VA,Spring,2,EF,3,1.139985249
2012,MA,Spring,19,EF,1,1.160480876
2012,MA,Spring,2,EF,1,1.160480876
2012,MA,Spring,4,EF,1,1.169734174
2012,MA,Spring,16,EF,2,1.169734174
2012,PA,Spring,17,EF,1,1.178431373
2012,PA,Spring,4,EF,1,1.187033795
2012,MA,Spring,7,EF,1,1.194777075
2012,VA,Spring,15,EF,2,1.194777075
2012,MA,Spring,1,EF,3,1.200686664
2012,MA,Spring,5,EF,3b,1.200686664
2012,VA,Spring,17,EF,3,1.200686664
2012,VA,Spring,5,EF,2,1.200686664
2012,VA,Spring,6,EF,2,1.200686664
2012,PA,Spring,6,EF,1,1.222484318
2012,VA,Spring,11,EF,2,1.222484318
2012,PA,Spring,7,EF,1,1.245465501
2012,MA,Spring,10,EF,1,1.259624824
2012,MA,Spring,12,EF,2,1.259624824
2012,VA,Spring,4,EF,3,1.259624824
2012,MA,Spring,8,EF,2,1.278985579
2012,MA,Spring,20,EF,4,1.283139805
2012,MA,Spring,4,EF,1,1.287178137
2012,MA,Spring,1,EF,2,1.287178137
2012,MA,Spring,17,EF,2,1.301210839
2012,MA,Spring,4,EF,1,1.301210839
2012,PA,Spring,6,EF,2,1.301210839
2012,VA,Spring,15,EF,3,1.301210839
2012,VA,Spring,16,EF,2,1.301210839
2012,VA,Spring,20,EF,1,1.301210839
2012,VA,Spring,4,EF,1,1.325755404
2012,MA,Spring,1,EF,2,1.328923911
2012,MA,Spring,5,EF,3,1.333333333
2012,PA,Spring,3,EF,1,1.333333333
2012,VA,Spring,5,EF,1,1.337612408
2012,PA,Spring,20,EF,1,1.360928457
2012,VA,Spring,18,EF,1,1.363301704
2012,VA,Spring,15,EF,1,1.365636671
2012,MA,Spring,1,EF,2,1.382042679
2012,MA,Spring,6,EF,2,1.382042679
2012,PA,Spring,8,EF,2,1.39584024
2012,MA,Spring,16,EF,3,1.401373328
2012,MA,Spring,3,EF,1,1.401373328
2012,VA,Spring,16,EF,2,1.401373328
2012,MA,Spring,17,EF,1,1.406702696
2012,VA,Spring,8,EF,8,1.421605941
2012,MA,Spring,7,EF,2,1.433676665
2012,MA,Spring,10,EF,1,1.436543389
2012,PA,Spring,13,EF,1,1.443471258
2012,VA,Spring,12,EF,2,1.443471258
2012,MA,Spring,20,EF,3,1.447474227
2012,MA,Spring,18,EF,4,1.456405286
2012,PA,Spring,8,EF,1,1.460070414
2012,VA,Spring,2,EF,2,1.460070414
2012,VA,Spring,7,EF,3,1.460070414
2012,MA,Spring,1,EF,3,1.463645036
2012,MA,Spring,3,EF,1,1.471099921
2012,PA,Spring,20,EF,1,1.471657783
2012,VA,Spring,10,EF,2,1.48238601
2012,VA,Spring,5,EF,3,1.48796433
2012,VA,Spring,4,EF,2,1.492373752
2012,PA,Spring,13,EF,2,1.503067507
2012,MA,Spring,14,EF,2,1.510492972
2012,PA,Spring,5,EF,1,1.513443158
2012,MA,Spring,3,EF,3,1.5187675
2012,PA,Spring,10,EF,3,1.5187675
2012,PA,Spring,19,EF,2,1.5187675
2012,VA,Spring,18,EF,1,1.526594532
2012,VA,Spring,20,EF,1,1.538299072
2012,VA,Spring,9,EF,2,1.541083097
2012,MA,Spring,6,EF,2,1.546495496
2012,VA,Spring,13,EF,2,1.549127657
2012,PA,Spring,5,EF,1,1.557673636
2012,PA,Spring,1,EF,3,1.565743114
2012,MA,Spring,20,EF,3,1.569756654
2012,VA,Spring,12,EF,3,1.584272144
2012,MA,Spring,10,EF,2,1.587559521
2012,MA,Spring,5,EF,1,1.588058711
2012,PA,Spring,3,EF,3,1.60673382
2012,MA,Spring,7,EF,1,1.615239339
2012,VA,Spring,16,EF,1,1.623272736
2012,MA,Spring,5,EF,2,1.627128219
2012,PA,Spring,19,EF,1,1.635803787
2012,VA,Spring,6,EF,1,1.637584435
2012,PA,Spring,18,EF,3,1.641426429
2012,VA,Spring,7,EF,2,1.660907796
2012,PA,Spring,7,EF,1,1.672344446
2012,PA,Spring,13,EF,3,1.677807918
2012,PA,Spring,7,EF,2,1.684359481
2012,PA,Spring,10,EF,1,1.688152663
2012,PA,Spring,1,EF,1,1.715376012
2012,PA,Spring,13,EF,1,1.724395423
2012,VA,Spring,14,EF,2,1.725363753
2012,MA,Spring,4,EF,2,1.727281196
2012,MA,Spring,2,EF,1,1.730110566
2012,MA,Spring,6,EF,1,1.731966551
2012,MA,Spring,7,EF,2,1.739161315
2012,VA,Spring,13,EF,1,1.740036029
2012,MA,Spring,13,EF,1,1.743482974
2012,PA,Spring,7,EF,1,1.743482974
2012,MA,Spring,15,EF,2,1.76334487
2012,PA,Spring,8,EF,2,1.769165346
2012,PA,Spring,4,EF,2,1.771289073
2012,MA,Spring,7,EF,1,1.776804591
2012,VA,Spring,19,EF,1,1.783416006
2012,PA,Spring,17,EF,2,1.802746655
2012,VA,Spring,11,EF,2,1.802746655
2012,MA,Spring,15,EF,2,1.822782443
2012,VA,Spring,9,EF,1,1.822782443
2012,VA,Spring,3,EF,1,1.836848337
2012,MA,Spring,7,EF,2,1.8425433
2012,PA,Spring,2,EF,1,1.846776492
2012,VA,Spring,17,EF,2,1.852100834
2012,VA,Spring,20,EF,3,1.858395948
2012,MA,Spring,15,EF,1,1.87441643
2012,PA,Spring,16,EF,2,1.883759338
2012,PA,Spring,12,EF,3,1.888839327
2012,VA,Spring,12,EF,2,1.893747079
2012,PA,Spring,20,EF,2,1.897908983
2012,PA,Spring,13,EF,2,1.90836484
2012,MA,Spring,6,EF,1,1.912662442
